"","Site","Species","year","n","Latitude","Longitude","Subregion"
"44","AA1191","CNAT","2024",1,25.88082,-80.10008,"Broward-Miami"
"45","AA1191","CNAT","2024",1,25.88082,-80.10008,"Broward-Miami"
"46","AA1191","DLAB","2024",1,25.88082,-80.10008,"Broward-Miami"
"47","AA1191","DLAB","2024",1,25.88082,-80.10008,"Broward-Miami"
"48","AA1196","CNAT","2024",1,25.874331,-80.101425,"Broward-Miami"
"49","AA1199","PSTR","2024",1,25.861301,-80.111504,"Broward-Miami"
"50","AA1200","PSTR","2024",1,25.84795,-80.0925,"Broward-Miami"
"51","AA1203","PSTR","2024",1,25.8446,-80.1081,"Broward-Miami"
"52","AA1205","CNAT","2024",2,25.83862,-80.10025,"Broward-Miami"
"53","AA1205","CNAT","2024",2,25.83862,-80.10025,"Broward-Miami"
"54","AA1207","PSTR","2024",1,25.83197,-80.11172,"Broward-Miami"
"55","AA1209","PSTR","2024",1,25.81383,-80.0979,"Broward-Miami"
"56","AA1209","PSTR","2024",1,25.81383,-80.0979,"Broward-Miami"
"57","AA1209","DLAB","2024",1,25.81383,-80.0979,"Broward-Miami"
"58","AA1209","DLAB","2024",1,25.81383,-80.0979,"Broward-Miami"
"59","AA1210","CNAT","2024",1,25.80887,-80.08888,"Broward-Miami"
"60","AA1211","PSTR","2024",1,25.80575,-80.10397,"Broward-Miami"
"61","AA1216","PSTR","2024",2,25.78542,-80.10415,"Broward-Miami"
"62","AA1216","PSTR","2024",2,25.78542,-80.10415,"Broward-Miami"
"63","AA1221","CNAT","2024",1,25.77095,-80.09667,"Broward-Miami"
"64","AA1223","PSTR","2024",1,25.76637,-80.0893,"Broward-Miami"
"65","AA1224","PSTR","2024",1,25.72758,-80.10202,"Biscayne"
"66","AA1225","CNAT","2024",1,25.72567,-80.0896,"Biscayne"
"67","AA1225","CNAT","2024",1,25.72567,-80.0896,"Biscayne"
"68","AA1225","DLAB","2024",1,25.72567,-80.0896,"Biscayne"
"69","AA1225","DLAB","2024",1,25.72567,-80.0896,"Biscayne"
"70","AA1226","DLAB","2024",1,25.72543,-80.10003,"Biscayne"
"71","AA1230","PSTR","2024",1,25.6957,-80.09632,"Biscayne"
"72","AA1232","PSTR","2024",1,25.674264,-80.090974,"Biscayne"
"73","AA1237","DLAB","2024",1,25.635906,-80.093755,"Biscayne"
"74","AA1239","PSTR","2024",1,25.591985,-80.105803,"Biscayne"
"75","AA1240","CNAT","2024",1,25.587721,-80.091972,"Biscayne"
"76","AA1241","DLAB","2024",1,25.571014,-80.113658,"Biscayne"
"77","AA1241","DLAB","2024",1,25.571014,-80.113658,"Biscayne"
"78","AA1241","PSTR","2024",1,25.571014,-80.113658,"Biscayne"
"79","AA1241","PSTR","2024",1,25.571014,-80.113658,"Biscayne"
"80","AA1242","DLAB","2024",1,25.562839,-80.105754,"Biscayne"
"81","AA1242","DLAB","2024",1,25.562839,-80.105754,"Biscayne"
"82","AA1242","PSTR","2024",1,25.562839,-80.105754,"Biscayne"
"83","AA1242","PSTR","2024",1,25.562839,-80.105754,"Biscayne"
"84","AA1243","PSTR","2024",1,25.541669,-80.138466,"Biscayne"
"85","AA1246","PSTR","2024",2,25.518475,-80.131688,"Biscayne"
"86","AA1246","PSTR","2024",2,25.518475,-80.131688,"Biscayne"
"87","AA1246","PSTR","2024",2,25.518475,-80.131688,"Biscayne"
"88","AA1246","DLAB","2024",1,25.518475,-80.131688,"Biscayne"
"89","AA1246","DLAB","2024",1,25.518475,-80.131688,"Biscayne"
"90","AA1246","DLAB","2024",1,25.518475,-80.131688,"Biscayne"
"91","AA1248","CNAT","2024",1,25.513369,-80.133646,"Biscayne"
"92","AA1249","PSTR","2024",2,25.512424,-80.137303,"Biscayne"
"93","AA1249","PSTR","2024",2,25.512424,-80.137303,"Biscayne"
"94","AA1250","DLAB","2024",1,25.50423,-80.125686,"Biscayne"
"95","AA1251","DLAB","2024",1,25.503246,-80.106196,"Biscayne"
"96","AA1252","DLAB","2024",1,25.492852,-80.122111,"Biscayne"
"97","AA1252","DLAB","2024",1,25.492852,-80.122111,"Biscayne"
"98","AA1252","PSTR","2024",1,25.492852,-80.122111,"Biscayne"
"99","AA1252","PSTR","2024",1,25.492852,-80.122111,"Biscayne"
"100","AA1256","PSTR","2024",3,25.482803,-80.146725,"Biscayne"
"101","AA1256","PSTR","2024",3,25.482803,-80.146725,"Biscayne"
"102","AA1256","PSTR","2024",3,25.482803,-80.146725,"Biscayne"
"103","AA1257","DLAB","2024",1,25.474432,-80.147545,"Biscayne"
"104","AA1258","DLAB","2024",2,25.473185,-80.155104,"Biscayne"
"105","AA1258","DLAB","2024",2,25.473185,-80.155104,"Biscayne"
"106","AA1259","PSTR","2024",1,25.464155,-80.14159,"Biscayne"
"107","AA1260","DLAB","2024",1,25.463182,-80.125888,"Biscayne"
"108","AA1260","DLAB","2024",1,25.463182,-80.125888,"Biscayne"
"109","AA1260","DLAB","2024",1,25.463182,-80.125888,"Biscayne"
"110","AA1260","PSTR","2024",1,25.463182,-80.125888,"Biscayne"
"111","AA1260","PSTR","2024",1,25.463182,-80.125888,"Biscayne"
"112","AA1260","PSTR","2024",1,25.463182,-80.125888,"Biscayne"
"113","AA1260","CNAT","2024",1,25.463182,-80.125888,"Biscayne"
"114","AA1260","CNAT","2024",1,25.463182,-80.125888,"Biscayne"
"115","AA1260","CNAT","2024",1,25.463182,-80.125888,"Biscayne"
"116","AA1261","CNAT","2024",1,25.463105,-80.150519,"Biscayne"
"117","AA1261","CNAT","2024",1,25.463105,-80.150519,"Biscayne"
"118","AA1261","DLAB","2024",1,25.463105,-80.150519,"Biscayne"
"119","AA1261","DLAB","2024",1,25.463105,-80.150519,"Biscayne"
"120","AA1262","PSTR","2024",4,25.461782,-80.127219,"Biscayne"
"121","AA1262","PSTR","2024",4,25.461782,-80.127219,"Biscayne"
"122","AA1262","PSTR","2024",4,25.461782,-80.127219,"Biscayne"
"123","AA1262","PSTR","2024",4,25.461782,-80.127219,"Biscayne"
"124","AA1262","PSTR","2024",4,25.461782,-80.127219,"Biscayne"
"125","AA1262","DLAB","2024",1,25.461782,-80.127219,"Biscayne"
"126","AA1262","DLAB","2024",1,25.461782,-80.127219,"Biscayne"
"127","AA1262","DLAB","2024",1,25.461782,-80.127219,"Biscayne"
"128","AA1262","DLAB","2024",1,25.461782,-80.127219,"Biscayne"
"129","AA1262","DLAB","2024",1,25.461782,-80.127219,"Biscayne"
"130","AA1264","PSTR","2024",1,25.45696,-80.181436,"Biscayne"
"131","AA1265","DLAB","2024",3,25.456151,-80.155034,"Biscayne"
"132","AA1265","DLAB","2024",3,25.456151,-80.155034,"Biscayne"
"133","AA1265","DLAB","2024",3,25.456151,-80.155034,"Biscayne"
"134","AA1265","DLAB","2024",3,25.456151,-80.155034,"Biscayne"
"135","AA1265","DLAB","2024",3,25.456151,-80.155034,"Biscayne"
"136","AA1265","PSTR","2024",2,25.456151,-80.155034,"Biscayne"
"137","AA1265","PSTR","2024",2,25.456151,-80.155034,"Biscayne"
"138","AA1265","PSTR","2024",2,25.456151,-80.155034,"Biscayne"
"139","AA1265","PSTR","2024",2,25.456151,-80.155034,"Biscayne"
"140","AA1265","PSTR","2024",2,25.456151,-80.155034,"Biscayne"
"141","AA1266","DLAB","2024",1,25.443281,-80.120065,"Biscayne"
"142","AA1268","DLAB","2024",1,25.424564,-80.15774,"Biscayne"
"143","AA1268","DLAB","2024",1,25.424564,-80.15774,"Biscayne"
"144","AA1268","DLAB","2024",1,25.424564,-80.15774,"Biscayne"
"145","AA1268","CNAT","2024",1,25.424564,-80.15774,"Biscayne"
"146","AA1268","CNAT","2024",1,25.424564,-80.15774,"Biscayne"
"147","AA1268","CNAT","2024",1,25.424564,-80.15774,"Biscayne"
"148","AA1268","PSTR","2024",1,25.424564,-80.15774,"Biscayne"
"149","AA1268","PSTR","2024",1,25.424564,-80.15774,"Biscayne"
"150","AA1268","PSTR","2024",1,25.424564,-80.15774,"Biscayne"
"151","AA1270","DLAB","2024",1,25.420978,-80.160056,"Biscayne"
"152","AA1270","DLAB","2024",1,25.420978,-80.160056,"Biscayne"
"153","AA1270","DLAB","2024",1,25.420978,-80.160056,"Biscayne"
"154","AA1270","DLAB","2024",1,25.420978,-80.160056,"Biscayne"
"155","AA1270","PSTR","2024",3,25.420978,-80.160056,"Biscayne"
"156","AA1270","PSTR","2024",3,25.420978,-80.160056,"Biscayne"
"157","AA1270","PSTR","2024",3,25.420978,-80.160056,"Biscayne"
"158","AA1270","PSTR","2024",3,25.420978,-80.160056,"Biscayne"
"159","AA1271","CNAT","2024",2,25.419397,-80.161679,"Biscayne"
"160","AA1271","CNAT","2024",2,25.419397,-80.161679,"Biscayne"
"161","AA1271","CNAT","2024",2,25.419397,-80.161679,"Biscayne"
"162","AA1271","DLAB","2024",1,25.419397,-80.161679,"Biscayne"
"163","AA1271","DLAB","2024",1,25.419397,-80.161679,"Biscayne"
"164","AA1271","DLAB","2024",1,25.419397,-80.161679,"Biscayne"
"165","AA1272","CNAT","2024",1,25.417676,-80.142125,"Biscayne"
"166","AA1272","CNAT","2024",1,25.417676,-80.142125,"Biscayne"
"167","AA1272","PSTR","2024",1,25.417676,-80.142125,"Biscayne"
"168","AA1272","PSTR","2024",1,25.417676,-80.142125,"Biscayne"
"169","AA1273","PSTR","2024",1,25.416645,-80.192917,"Biscayne"
"170","AA1274","DLAB","2024",1,25.416213,-80.123741,"Biscayne"
"171","AA1274","DLAB","2024",1,25.416213,-80.123741,"Biscayne"
"172","AA1274","PSTR","2024",1,25.416213,-80.123741,"Biscayne"
"173","AA1274","PSTR","2024",1,25.416213,-80.123741,"Biscayne"
"174","AA1275","DLAB","2024",3,25.410822,-80.147437,"Biscayne"
"175","AA1275","DLAB","2024",3,25.410822,-80.147437,"Biscayne"
"176","AA1275","DLAB","2024",3,25.410822,-80.147437,"Biscayne"
"177","AA1275","DLAB","2024",3,25.410822,-80.147437,"Biscayne"
"178","AA1275","DLAB","2024",3,25.410822,-80.147437,"Biscayne"
"179","AA1275","PSTR","2024",2,25.410822,-80.147437,"Biscayne"
"180","AA1275","PSTR","2024",2,25.410822,-80.147437,"Biscayne"
"181","AA1275","PSTR","2024",2,25.410822,-80.147437,"Biscayne"
"182","AA1275","PSTR","2024",2,25.410822,-80.147437,"Biscayne"
"183","AA1275","PSTR","2024",2,25.410822,-80.147437,"Biscayne"
"184","AA1278","PSTR","2024",1,25.401251,-80.157855,"Biscayne"
"185","AA1278","PSTR","2024",1,25.401251,-80.157855,"Biscayne"
"186","AA1278","PSTR","2024",1,25.401251,-80.157855,"Biscayne"
"187","AA1278","CNAT","2024",1,25.401251,-80.157855,"Biscayne"
"188","AA1278","CNAT","2024",1,25.401251,-80.157855,"Biscayne"
"189","AA1278","CNAT","2024",1,25.401251,-80.157855,"Biscayne"
"190","AA1278","DLAB","2024",1,25.401251,-80.157855,"Biscayne"
"191","AA1278","DLAB","2024",1,25.401251,-80.157855,"Biscayne"
"192","AA1278","DLAB","2024",1,25.401251,-80.157855,"Biscayne"
"193","AA1281","PSTR","2024",2,25.390711,-80.163689,"Biscayne"
"194","AA1281","PSTR","2024",2,25.390711,-80.163689,"Biscayne"
"195","AA1281","PSTR","2024",2,25.390711,-80.163689,"Biscayne"
"196","AA1281","DLAB","2024",1,25.390711,-80.163689,"Biscayne"
"197","AA1281","DLAB","2024",1,25.390711,-80.163689,"Biscayne"
"198","AA1281","DLAB","2024",1,25.390711,-80.163689,"Biscayne"
"199","AA1283","PSTR","2024",1,25.382498,-80.171418,"Biscayne"
"200","AA1283","PSTR","2024",1,25.382498,-80.171418,"Biscayne"
"201","AA1283","PSTR","2024",1,25.382498,-80.171418,"Biscayne"
"202","AA1283","PSTR","2024",1,25.382498,-80.171418,"Biscayne"
"203","AA1283","DLAB","2024",2,25.382498,-80.171418,"Biscayne"
"204","AA1283","DLAB","2024",2,25.382498,-80.171418,"Biscayne"
"205","AA1283","DLAB","2024",2,25.382498,-80.171418,"Biscayne"
"206","AA1283","DLAB","2024",2,25.382498,-80.171418,"Biscayne"
"207","AA1283","CNAT","2024",1,25.382498,-80.171418,"Biscayne"
"208","AA1283","CNAT","2024",1,25.382498,-80.171418,"Biscayne"
"209","AA1283","CNAT","2024",1,25.382498,-80.171418,"Biscayne"
"210","AA1283","CNAT","2024",1,25.382498,-80.171418,"Biscayne"
"211","AA1284","DLAB","2024",2,25.380601,-80.156945,"Biscayne"
"212","AA1284","DLAB","2024",2,25.380601,-80.156945,"Biscayne"
"213","AA1286","PSTR","2024",1,25.360444,-80.160916,"Biscayne"
"214","AA1289","CNAT","2024",1,25.352648,-80.187028,"Biscayne"
"215","AA1289","CNAT","2024",1,25.352648,-80.187028,"Biscayne"
"216","AA1289","PSTR","2024",1,25.352648,-80.187028,"Biscayne"
"217","AA1289","PSTR","2024",1,25.352648,-80.187028,"Biscayne"
"218","AA1291","PSTR","2024",2,25.344654,-80.166458,"Biscayne"
"219","AA1291","PSTR","2024",2,25.344654,-80.166458,"Biscayne"
"220","AA1291","PSTR","2024",2,25.344654,-80.166458,"Biscayne"
"221","AA1291","DLAB","2024",1,25.344654,-80.166458,"Biscayne"
"222","AA1291","DLAB","2024",1,25.344654,-80.166458,"Biscayne"
"223","AA1291","DLAB","2024",1,25.344654,-80.166458,"Biscayne"
"224","AA1292","PSTR","2024",2,25.343871,-80.194827,"Biscayne"
"225","AA1292","PSTR","2024",2,25.343871,-80.194827,"Biscayne"
"226","AA1293","PSTR","2024",2,25.338915,-80.152828,"Biscayne"
"227","AA1293","PSTR","2024",2,25.338915,-80.152828,"Biscayne"
"228","AA1293","PSTR","2024",2,25.338915,-80.152828,"Biscayne"
"229","AA1293","PSTR","2024",2,25.338915,-80.152828,"Biscayne"
"230","AA1293","DLAB","2024",2,25.338915,-80.152828,"Biscayne"
"231","AA1293","DLAB","2024",2,25.338915,-80.152828,"Biscayne"
"232","AA1293","DLAB","2024",2,25.338915,-80.152828,"Biscayne"
"233","AA1293","DLAB","2024",2,25.338915,-80.152828,"Biscayne"
"234","AA1294","DLAB","2024",1,25.338695,-80.20026,"Biscayne"
"235","AA1298","DLAB","2024",2,25.321667,-80.210316,"Biscayne"
"236","AA1298","DLAB","2024",2,25.321667,-80.210316,"Biscayne"
"237","AA1299","DLAB","2024",1,25.319347,-80.216839,"Biscayne"
"238","AA1300","DLAB","2024",1,25.31042,-80.218049,"Biscayne"
"239","AA1304","DLAB","2024",1,25.282848,-80.171879,"Upper Keys"
"240","AA1309","DLAB","2024",1,25.229212,-80.223769,"Upper Keys"
"241","AA1310","PSTR","2024",1,25.228075,-80.215626,"Upper Keys"
"242","AA1310","PSTR","2024",1,25.228075,-80.215626,"Upper Keys"
"243","AA1310","CNAT","2024",1,25.228075,-80.215626,"Upper Keys"
"244","AA1310","CNAT","2024",1,25.228075,-80.215626,"Upper Keys"
"245","AA1313","PSTR","2024",1,25.212913,-80.213857,"Upper Keys"
"246","AA1317","PSTR","2024",1,25.205313,-80.271213,"Upper Keys"
"247","AA1317","PSTR","2024",1,25.205313,-80.271213,"Upper Keys"
"248","AA1317","DLAB","2024",1,25.205313,-80.271213,"Upper Keys"
"249","AA1317","DLAB","2024",1,25.205313,-80.271213,"Upper Keys"
"250","AA1324","DLAB","2024",2,25.189171,-80.230584,"Upper Keys"
"251","AA1324","DLAB","2024",2,25.189171,-80.230584,"Upper Keys"
"252","AA1325","PSTR","2024",1,25.185432,-80.247132,"Upper Keys"
"253","AA1329","DLAB","2024",3,25.174418,-80.249509,"Upper Keys"
"254","AA1329","DLAB","2024",3,25.174418,-80.249509,"Upper Keys"
"255","AA1329","DLAB","2024",3,25.174418,-80.249509,"Upper Keys"
"256","AA1332","PSTR","2024",1,25.152848,-80.264037,"Upper Keys"
"257","AA1332","PSTR","2024",1,25.152848,-80.264037,"Upper Keys"
"258","AA1332","PSTR","2024",1,25.152848,-80.264037,"Upper Keys"
"259","AA1332","PSTR","2024",1,25.152848,-80.264037,"Upper Keys"
"260","AA1332","PSTR","2024",1,25.152848,-80.264037,"Upper Keys"
"261","AA1332","DLAB","2024",4,25.152848,-80.264037,"Upper Keys"
"262","AA1332","DLAB","2024",4,25.152848,-80.264037,"Upper Keys"
"263","AA1332","DLAB","2024",4,25.152848,-80.264037,"Upper Keys"
"264","AA1332","DLAB","2024",4,25.152848,-80.264037,"Upper Keys"
"265","AA1332","DLAB","2024",4,25.152848,-80.264037,"Upper Keys"
"266","AA1333","PSTR","2024",1,25.150291,-80.293796,"Upper Keys"
"267","AA1333","PSTR","2024",1,25.150291,-80.293796,"Upper Keys"
"268","AA1333","DLAB","2024",1,25.150291,-80.293796,"Upper Keys"
"269","AA1333","DLAB","2024",1,25.150291,-80.293796,"Upper Keys"
"270","AA1338","DLAB","2024",2,25.140488,-80.286725,"Upper Keys"
"271","AA1338","DLAB","2024",2,25.140488,-80.286725,"Upper Keys"
"272","AA1343","DLAB","2024",1,25.129905,-80.286437,"Upper Keys"
"273","AA1347","PSTR","2024",3,25.114207,-80.303447,"Upper Keys"
"274","AA1347","PSTR","2024",3,25.114207,-80.303447,"Upper Keys"
"275","AA1347","PSTR","2024",3,25.114207,-80.303447,"Upper Keys"
"276","AA1347","PSTR","2024",3,25.114207,-80.303447,"Upper Keys"
"277","AA1347","PSTR","2024",3,25.114207,-80.303447,"Upper Keys"
"278","AA1347","DLAB","2024",2,25.114207,-80.303447,"Upper Keys"
"279","AA1347","DLAB","2024",2,25.114207,-80.303447,"Upper Keys"
"280","AA1347","DLAB","2024",2,25.114207,-80.303447,"Upper Keys"
"281","AA1347","DLAB","2024",2,25.114207,-80.303447,"Upper Keys"
"282","AA1347","DLAB","2024",2,25.114207,-80.303447,"Upper Keys"
"283","AA1350","PSTR","2024",1,25.110994,-80.340413,"Upper Keys"
"284","AA1350","PSTR","2024",1,25.110994,-80.340413,"Upper Keys"
"285","AA1350","PSTR","2024",1,25.110994,-80.340413,"Upper Keys"
"286","AA1350","PSTR","2024",1,25.110994,-80.340413,"Upper Keys"
"287","AA1350","CNAT","2024",3,25.110994,-80.340413,"Upper Keys"
"288","AA1350","CNAT","2024",3,25.110994,-80.340413,"Upper Keys"
"289","AA1350","CNAT","2024",3,25.110994,-80.340413,"Upper Keys"
"290","AA1350","CNAT","2024",3,25.110994,-80.340413,"Upper Keys"
"291","AA1352","CNAT","2024",1,25.106438,-80.305013,"Upper Keys"
"292","AA1352","CNAT","2024",1,25.106438,-80.305013,"Upper Keys"
"293","AA1352","CNAT","2024",1,25.106438,-80.305013,"Upper Keys"
"294","AA1352","DLAB","2024",1,25.106438,-80.305013,"Upper Keys"
"295","AA1352","DLAB","2024",1,25.106438,-80.305013,"Upper Keys"
"296","AA1352","DLAB","2024",1,25.106438,-80.305013,"Upper Keys"
"297","AA1352","PSTR","2024",1,25.106438,-80.305013,"Upper Keys"
"298","AA1352","PSTR","2024",1,25.106438,-80.305013,"Upper Keys"
"299","AA1352","PSTR","2024",1,25.106438,-80.305013,"Upper Keys"
"300","AA1354","DLAB","2024",1,25.094884,-80.32339,"Upper Keys"
"301","AA1357","DLAB","2024",2,25.06974,-80.370635,"Upper Keys"
"302","AA1357","DLAB","2024",2,25.06974,-80.370635,"Upper Keys"
"303","AA1357","DLAB","2024",2,25.06974,-80.370635,"Upper Keys"
"304","AA1357","CNAT","2024",1,25.06974,-80.370635,"Upper Keys"
"305","AA1357","CNAT","2024",1,25.06974,-80.370635,"Upper Keys"
"306","AA1357","CNAT","2024",1,25.06974,-80.370635,"Upper Keys"
"307","AA1359","PSTR","2024",2,25.059902,-80.380155,"Upper Keys"
"308","AA1359","PSTR","2024",2,25.059902,-80.380155,"Upper Keys"
"309","AA1360","DLAB","2024",2,25.055637,-80.331537,"Upper Keys"
"310","AA1360","DLAB","2024",2,25.055637,-80.331537,"Upper Keys"
"311","AA1365","CNAT","2024",1,25.033095,-80.360089,"Upper Keys"
"312","AA1365","CNAT","2024",1,25.033095,-80.360089,"Upper Keys"
"313","AA1365","PSTR","2024",1,25.033095,-80.360089,"Upper Keys"
"314","AA1365","PSTR","2024",1,25.033095,-80.360089,"Upper Keys"
"315","AA1366","DLAB","2024",2,25.032472,-80.380543,"Upper Keys"
"316","AA1366","DLAB","2024",2,25.032472,-80.380543,"Upper Keys"
"317","AA1368","DLAB","2024",1,25.023917,-80.4065,"Upper Keys"
"318","AA1369","DLAB","2024",1,25.022813,-80.362935,"Upper Keys"
"319","AA1374","DLAB","2024",4,25.009549,-80.458097,"Upper Keys"
"320","AA1374","DLAB","2024",4,25.009549,-80.458097,"Upper Keys"
"321","AA1374","DLAB","2024",4,25.009549,-80.458097,"Upper Keys"
"322","AA1374","DLAB","2024",4,25.009549,-80.458097,"Upper Keys"
"323","AA1375","PSTR","2024",1,25.007512,-80.374906,"Upper Keys"
"324","AA1379","DLAB","2024",1,24.988458,-80.468143,"Upper Keys"
"325","AA1380","CNAT","2024",1,24.981957,-80.423421,"Upper Keys"
"326","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"327","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"328","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"329","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"330","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"331","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"332","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"333","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"334","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"335","AA1386","CNAT","2024",9,24.951195,-80.534844,"Mid-Upper Keys Transition"
"336","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"337","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"338","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"339","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"340","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"341","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"342","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"343","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"344","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"345","AA1386","DLAB","2024",1,24.951195,-80.534844,"Mid-Upper Keys Transition"
"346","AA1387","CNAT","2024",6,24.950183,-80.550197,"Mid-Upper Keys Transition"
"347","AA1387","CNAT","2024",6,24.950183,-80.550197,"Mid-Upper Keys Transition"
"348","AA1387","CNAT","2024",6,24.950183,-80.550197,"Mid-Upper Keys Transition"
"349","AA1387","CNAT","2024",6,24.950183,-80.550197,"Mid-Upper Keys Transition"
"350","AA1387","CNAT","2024",6,24.950183,-80.550197,"Mid-Upper Keys Transition"
"351","AA1387","CNAT","2024",6,24.950183,-80.550197,"Mid-Upper Keys Transition"
"352","AA1387","CNAT","2024",6,24.950183,-80.550197,"Mid-Upper Keys Transition"
"353","AA1387","DLAB","2024",1,24.950183,-80.550197,"Mid-Upper Keys Transition"
"354","AA1387","DLAB","2024",1,24.950183,-80.550197,"Mid-Upper Keys Transition"
"355","AA1387","DLAB","2024",1,24.950183,-80.550197,"Mid-Upper Keys Transition"
"356","AA1387","DLAB","2024",1,24.950183,-80.550197,"Mid-Upper Keys Transition"
"357","AA1387","DLAB","2024",1,24.950183,-80.550197,"Mid-Upper Keys Transition"
"358","AA1387","DLAB","2024",1,24.950183,-80.550197,"Mid-Upper Keys Transition"
"359","AA1387","DLAB","2024",1,24.950183,-80.550197,"Mid-Upper Keys Transition"
"360","AA1389","CNAT","2024",4,24.937475,-80.547704,"Mid-Upper Keys Transition"
"361","AA1389","CNAT","2024",4,24.937475,-80.547704,"Mid-Upper Keys Transition"
"362","AA1389","CNAT","2024",4,24.937475,-80.547704,"Mid-Upper Keys Transition"
